year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1964,AFG,4.0,AUS,36.0,2657.189,5.747,,,0.0,11086.141,0.0,0.0,0.0,0.0,0.002,9547.131,11167.0,800000.064,23758538.75,0,1,0,0,0,0,1.469,0.183,4.356,10.889,0.0,14.68,0.0,1.0,1.0,0.0,34.0,53.0
1964,AFG,4.0,AUT,40.0,26.662,738.997,,,0.0,4567.302,0.0,0.0,0.0,0.0,0.006,9547.131,7223.801,800000.064,9169983.488,0,1,0,0,0,1,1.469,1.152,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,155.0
1964,AFG,4.0,BEL,56.0,189.21,21.738,,,0.0,5331.892,0.0,0.0,0.0,0.0,0.011,9547.131,9378.113,800000.064,15960107.01,0,1,0,0,0,1,1.469,0.261,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,155.0
1964,AFG,4.0,BHR,48.0,6.705,,,,0.0,1940.47,0.0,0.0,0.0,0.0,0.943,9547.131,182.774,800000.064,,0,0,0,0,0,0,1.469,0.163,4.356,0.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,145.0
1964,AFG,4.0,CHE,756.0,2755.078,2053.023,,,0.0,5136.085,0.0,0.0,0.0,0.0,0.003,9547.131,5789.228,800000.064,14480557.06,0,0,0,0,0,0,1.469,1.45,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,155.0
1964,AFG,4.0,CHN,156.0,168.647,,,,1.0,4434.382,0.0,0.0,0.0,0.0,0.024,9547.131,698354.98,800000.064,59062255.62,0,0,0,0,0,0,1.469,0.708,4.356,5.77,0.0,0.301,0.0,0.0,1.0,0.0,34.0,30.0
1964,AFG,4.0,CSK,200.0,3026.733,,,,,4543.171,0.0,0.0,0.0,0.0,,9547.131,14055.145,800000.064,14574999.55,0,1,0,0,0,0,1.469,0.614037951,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,151.0
1964,AFG,4.0,DEU,280.0,5900.706,13673.0,,,0.0,4945.52,0.0,0.0,0.0,0.0,0.0,9547.131,75318.336,800000.064,105559998.5,0,1,0,0,0,1,1.469,0.405,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,155.0
1964,AFG,4.0,DNK,208.0,187.62,197.914,,,0.0,4854.474,0.0,0.0,0.0,0.0,0.002,9547.131,4722.072,800000.064,9506678.784,0,1,0,0,0,1,1.469,0.191,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,154.0
1964,AFG,4.0,EGY,818.0,39.758,,,,0.0,3509.174,0.0,0.0,0.0,0.0,0.812,9547.131,31241.837,800000.064,4570229.76,0,0,0,0,0,0,1.469,0.274,4.356,16.498,0.0,0.0,0.0,0.0,1.0,0.0,34.0,15.0
1964,AFG,4.0,ESP,724.0,,1.558,,,0.0,6147.663,0.0,0.0,0.0,0.0,0.0,9547.131,31609.196,800000.064,21343844.35,0,1,0,0,0,1,1.469,0.81,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,39.0
1964,AFG,4.0,FIN,246.0,,81.452,,,0.0,4243.341,0.0,0.0,0.0,0.0,0.0,9547.131,4548.543,800000.064,7766654.976,0,1,0,0,0,1,1.469,0.268,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,154.0
