year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1990,AFG,4,ARG,32,,12.731,,,0.0,15341.162,0.0,0.0,0.0,0.0,0.002,11731.193,32624.874,,141352370.2,0,1,0,0,0,0,1.469,0.22,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,5.0
1990,AFG,4,AUS,36,,214.46,,,0.0,11086.141,0.0,0.0,0.0,0.0,0.002,11731.193,17065.1,,310944989.2,0,1,0,0,0,0,1.469,0.183,4.356,10.889,0.0,14.68,0.0,1.0,1.0,0.0,34.0,53.0
1990,AFG,4,AUT,40,,2056.78,,,0.0,4567.302,0.0,0.0,0.0,0.0,0.006,11731.193,7677.85,,166062374.9,0,1,0,0,0,1,1.469,1.152,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,155.0
1990,AFG,4,BEL,56,,20932.301,,,0.0,5331.892,0.0,0.0,0.0,0.0,0.011,11731.193,9967.379,,206113800.2,0,1,0,0,0,1,1.469,0.261,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,155.0
1990,AFG,4,BGD,50,,109.988,,,0.0,2488.676,0.0,0.0,0.0,0.0,0.853,11731.193,107385.849,,30128777.22,0,1,0,0,0,0,1.469,0.065,4.356,0.0,0.0,75.038,0.0,0.0,1.0,0.0,34.0,34.0
1990,AFG,4,BHR,48,,8.131,,,0.0,1940.47,0.0,0.0,0.0,0.0,0.943,11731.193,495.944,,4229787.392,0,0,0,0,0,0,1.469,0.163,4.356,0.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,145.0
1990,AFG,4,BLZ,84,,3.516,,,0.0,13714.661,0.0,0.0,0.0,0.0,0.0,11731.193,187.552,,413049.984,0,1,0,0,0,0,1.469,0.226,4.356,0.0,0.0,100.0,0.0,0.0,1.0,0.0,34.0,13.0
1990,AFG,4,BRA,76,,11.652,,,0.0,13223.752,0.0,0.0,0.0,0.0,0.001,11731.193,149648.346,,461951795.2,0,1,0,0,0,0,1.469,0.25,4.356,0.0,0.0,88.567,0.0,0.0,1.0,0.0,34.0,5.0
1990,AFG,4,CAN,124,,621.403,,,0.0,10516.293,0.0,0.0,0.0,0.0,0.006,11731.193,27791.0,,592014934.0,0,1,0,0,0,0,1.469,0.37,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,21.0
1990,AFG,4,CHE,756,,6263.906,,,0.0,5136.085,0.0,0.0,0.0,0.0,0.003,11731.193,6715.519,,257420296.2,0,1,0,0,0,0,1.469,1.45,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,155.0
1990,AFG,4,CHN,156,,193.558,,,1.0,4434.382,0.0,0.0,0.0,0.0,0.024,11731.193,1135185.059,,356937334.8,0,0,0,0,0,0,1.469,0.708,4.356,5.77,0.0,0.301,0.0,0.0,1.0,0.0,34.0,30.0
1990,AFG,4,CMR,120,,7.283,,,0.0,6632.051,0.0,0.0,0.0,0.0,0.218,11731.193,12070.359,,11151579.14,0,1,0,0,0,0,1.469,0.545,4.356,0.0,0.0,94.12,0.0,0.0,1.0,0.0,34.0,17.0
1990,AFG,4,CSK,200,,4907.926,,,,4543.171,0.0,0.0,0.0,0.0,,11731.193,15632.542,,53010391.04,0,1,0,0,0,0,1.469,0.614037951,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,151.0
1990,AFG,4,CYP,196,,186.719,,,0.0,3172.299,0.0,0.0,0.0,0.0,0.184,11731.193,766.611,,5591130.112,0,1,0,0,0,1,1.469,0.909,4.356,0.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,145.0
1990,AFG,4,DDR,278,,477.256,,,,4945.52,0.0,0.0,0.0,0.0,0.0,11731.193,,,,0,0,0,0,0,0,1.469,0.405,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,155.0
1990,AFG,4,DEU,276,,26398.0,,,0.0,4945.52,0.0,0.0,0.0,0.0,0.0,11731.193,79433.029,,1764967973.0,0,1,0,0,0,1,1.469,0.405,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,155.0
1990,AFG,4,DNK,208,,1276.426,,,0.0,4854.474,0.0,0.0,0.0,0.0,0.002,11731.193,5140.939,,138094870.5,0,1,0,0,0,1,1.469,0.191,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,154.0
1990,AFG,4,EGY,818,,266.882,,,0.0,3509.174,0.0,0.0,0.0,0.0,0.812,11731.193,56336.613,,43130417.15,0,1,0,0,0,0,1.469,0.274,4.356,16.498,0.0,0.0,0.0,0.0,1.0,0.0,34.0,15.0
