year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1949,AGO,24,CHE,756,,,100.0,1300.0,0.0,6356.838,0,0,0,0,0.448,,4640.0,,4407000.064,0,0,0,0,0,0,0.714,1.45,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1949,AGO,24,COD,180,,,2600.0,2800.0,1.0,1026.17,0,0,0,0,0.39,,,,,0,0,0,0,0,0,0.714,0.531,0.425,0.0,44.346,94.866,0.0,0.0,0.0,0.0,17.0,17.0
1949,AGO,24,CSK,200,,,200.0,,,6653.98,0,0,0,0,,,12339.0,,5080000.0,0,1,0,0,0,0,0.714,0.614037951,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,151.0
1949,AGO,24,DEU,280,,,5400.0,10000.0,0.0,6825.559,0,0,0,0,0.332,,67990.997,,,0,0,0,0,0,1,0.714,0.405,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1949,AGO,24,DNK,208,,,500.0,300.0,0.0,7308.257,0,0,0,0,0.193,,4230.0,,3548000.0,0,0,0,0,0,1,0.714,0.191,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1949,AGO,24,FRA,250,,,3100.0,,0.0,6384.804,0,0,0,0,0.53,,41480.0,,32849000.45,0,1,0,0,0,1,0.714,0.496,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1949,AGO,24,GBR,826,,,10500.0,100.0,0.0,7092.603,0,0,0,0,0.122,,50312.0,,46493999.1,0,1,0,0,0,0,0.714,0.21,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,154.0
1949,AGO,24,IRL,372,,,,900.0,0.0,7275.03,0,0,0,0,0.657,,2981.0,,1332099.968,0,0,0,0,0,1,0.714,0.28,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,154.0
1949,AGO,24,ITA,380,,,600.0,,0.0,5850.538,0,0,0,0,0.572,,46733.002,,14913000.45,0,0,0,0,0,1,0.714,0.755,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1949,AGO,24,MOZ,508,,,,1000.0,0.0,2664.913,1,1,1,0,0.229,,,,,0,0,0,0,0,0,0.714,0.438,0.425,0.0,44.346,87.365,0.0,0.0,0.0,0.0,17.0,14.0
1949,AGO,24,NLD,528,,,4900.0,5000.0,0.0,6942.261,0,0,0,0,0.377,,9956.0,,5897999.872,0,1,0,0,0,1,0.714,0.042,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1949,AGO,24,NOR,578,,,300.0,,0.0,7837.547,0,0,0,0,0.196,,3234.0,,2700000.0,0,1,0,0,0,0,0.714,1.245,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1949,AGO,24,PRT,620,,,23200.0,17900.0,0.0,5956.993,1,1,0,1,0.649,,8329.0,,1403000.064,0,0,0,0,0,1,0.714,0.967,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1949,AGO,24,USA,840,,,8300.0,8000.0,0.0,12153.606,0,0,0,0,0.292,,149770.004,,258300002.3,0,1,0,0,0,0,0.714,0.333,0.425,0.278,44.346,0.358,0.0,0.0,0.0,0.0,17.0,21.0
1949,AGO,24,ZAF,710,,,1400.0,,0.0,2579.672,0,0,0,0,0.149,,,,3994490.112,0,1,0,0,0,0,0.714,1.318,0.425,4.386,44.346,0.179,0.0,0.0,0.0,0.0,17.0,18.0
1949,AGO,24,ZWE,716,,,,110.0,0.0,2048.661,0,0,0,0,0.141,,,,,0,1,0,0,0,0,0.714,1.106,0.425,0.0,44.346,8.401,0.0,0.0,0.0,1.0,17.0,14.0
1949,ARG,32,AUT,40,,,,3100.0,0.0,11751.147,0,0,0,0,0.815,16737.0,6943.0,6027840.0,,0,0,0,0,0,1,0.22,1.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,155.0
1949,ARG,32,BOL,68,,,,13640.0,1.0,1865.839,1,1,0,0,0.848,16737.0,2984.0,6027840.0,271760.0,0,0,0,0,0,0,0.22,0.911,0.0,0.0,0.0,64.878,0.0,0.0,0.0,1.0,5.0,5.0
1949,ARG,32,BRA,76,,,,129140.0,1.0,2391.846,0,0,0,0,0.805,16737.0,50769.001,6027840.0,5158000.128,0,1,0,0,0,0,0.22,0.25,0.0,0.0,0.0,88.567,0.0,0.0,0.0,0.0,5.0,5.0
