year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1961,AGO,24,AUT,40,,,900.0,1800.0,0.0,6432.058,0,0,0,0,0.623,5056.688,7086.299,,7311749.632,0,1,0,0,0,1,0.714,1.152,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1961,AGO,24,BGR,100,,,100.0,,0.0,5962.843,0,0,0,0,0.004,5056.688,7943.118,,2553600.0,0,0,0,0,0,1,0.714,0.711,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,151.0
1961,AGO,24,CHE,756,,,900.0,1300.0,0.0,6356.838,0,0,0,0,0.448,5056.688,5434.294,,10712712.19,0,0,0,0,0,0,0.714,1.45,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1961,AGO,24,COD,180,,,5100.0,,1.0,1026.17,0,0,0,0,0.39,5056.688,15637.715,,3086746.88,0,0,0,0,0,0,0.714,0.531,0.425,0.0,44.346,94.866,0.0,0.0,0.0,0.0,17.0,17.0
1961,AGO,24,COG,178,,,,400.0,0.0,681.591,0,1,0,0,0.42,5056.688,1039.958,,151675.744,0,0,0,0,0,0,0.714,0.411,0.425,0.0,44.346,100.0,0.0,0.0,0.0,0.0,17.0,17.0
1961,AGO,24,CPV,132,,,1000.0,,0.0,5054.01,1,1,1,0,0.665,5056.688,217.15,,,0,0,0,0,0,0,0.714,1.399,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,11.0
1961,AGO,24,CSK,200,,,500.0,,,6653.98,0,0,0,0,,5056.688,13778.318,,14746000.38,0,1,0,0,0,0,0.714,0.614037951,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,151.0
1961,AGO,24,DDR,278,,,100.0,,,6825.559,0,0,0,0,0.332,5056.688,,,25272000.51,0,0,0,0,0,0,0.714,0.405,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1961,AGO,24,DEU,280,,,9600.0,13000.0,0.0,6825.559,0,0,0,0,0.332,5056.688,73377.632,,82478997.5,0,1,0,0,0,1,0.714,0.405,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1961,AGO,24,DNK,208,,,400.0,,0.0,7308.257,0,0,0,0,0.193,5056.688,4611.687,,6933841.92,0,1,0,0,0,1,0.714,0.191,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1961,AGO,24,EGY,818,,,100.0,,0.0,4814.249,0,0,0,0,0.002,5056.688,28785.879,,3400090.112,0,0,0,0,0,0,0.714,0.274,0.425,16.498,44.346,0.0,0.0,0.0,0.0,0.0,17.0,15.0
1961,AGO,24,ESP,724,,,1900.0,1800.0,0.0,5815.769,0,0,0,0,0.666,5056.688,30739.25,,13834300.42,0,0,0,0,0,1,0.714,0.81,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1961,AGO,24,FIN,246,,,500.0,,0.0,7962.544,0,0,0,0,0.185,5056.688,4461.005,,5921659.392,0,1,0,0,0,1,0.714,0.268,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1961,AGO,24,FRA,250,,,2500.0,,0.0,6384.804,0,0,0,0,0.53,5056.688,47293.812,,68346740.74,0,1,0,0,0,1,0.714,0.496,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1961,AGO,24,GBR,826,,,25900.0,3900.0,0.0,7092.603,0,0,0,0,0.122,5056.688,52799.999,,76694364.16,0,1,0,0,0,0,0.714,0.21,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,154.0
