year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1957,AGO,24,AUS,36,,,500.0,,0.0,12954.905,0,0,0,0,0.25,4561.361,9712.569,,12481000.45,0,1,0,0,0,0,0.714,0.183,0.425,10.889,44.346,14.68,0.0,1.0,0.0,0.0,17.0,53.0
1957,AGO,24,AUT,40,,,1100.0,,0.0,6432.058,0,0,0,0,0.623,4561.361,6965.86,,5085000.192,0,1,0,0,0,1,0.714,1.152,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1957,AGO,24,CAN,124,,,1500.0,,0.0,11627.293,0,0,0,0,0.379,4561.361,17010.155,,34943000.58,0,1,0,0,0,0,0.714,0.37,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,21.0
1957,AGO,24,CHE,756,,,1000.0,1900.0,0.0,6356.838,0,0,0,0,0.448,4561.361,5126.0,,7420000.256,0,0,0,0,0,0,0.714,1.45,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1957,AGO,24,COD,180,,,2100.0,2400.0,1.0,1026.17,0,0,0,0,0.39,4561.361,15577.931,,,0,0,0,0,0,0,0.714,0.531,0.425,0.0,44.346,94.866,0.0,0.0,0.0,0.0,17.0,17.0
1957,AGO,24,DEU,280,,,9600.0,13000.0,0.0,6825.559,0,0,0,0,0.332,4561.361,71019.073,,51487997.95,0,1,0,0,0,1,0.714,0.405,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1957,AGO,24,DNK,208,,,200.0,,0.0,7308.257,0,0,0,0,0.193,4561.361,4487.831,,4720999.936,0,1,0,0,0,1,0.714,0.191,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1957,AGO,24,EGY,818,,,100.0,,0.0,4814.249,0,0,0,0,0.002,4561.361,25009.741,,3051419.904,0,0,0,0,0,0,0.714,0.274,0.425,16.498,44.346,0.0,0.0,0.0,0.0,0.0,17.0,15.0
1957,AGO,24,ESP,724,,,1100.0,2400.0,0.0,5815.769,0,0,0,0,0.666,4561.361,29841.614,,12209999.87,0,0,0,0,0,1,0.714,0.81,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1957,AGO,24,FIN,246,,,200.0,700.0,0.0,7962.544,0,0,0,0,0.185,4561.361,4324.0,,4615000.064,0,1,0,0,0,1,0.714,0.268,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
