year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1953,AGO,24,AUT,40,,,300.0,,0.0,6432.058,0,0,0,0,0.623,4293.84,6932.483,,,0,1,0,0,0,1,0.714,1.152,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1953,AGO,24,CHE,756,,,1500.0,1400.0,0.0,6356.838,0,0,0,0,0.448,4293.84,4878.0,,5688999.936,0,0,0,0,0,0,0.714,1.45,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1953,AGO,24,COD,180,,,2200.0,2700.0,1.0,1026.17,0,0,0,0,0.39,4293.84,14373.435,,,0,0,0,0,0,0,0.714,0.531,0.425,0.0,44.346,94.866,0.0,0.0,0.0,0.0,17.0,17.0
1953,AGO,24,DEU,280,,,7500.0,15000.0,0.0,6825.559,0,0,0,0,0.332,4293.84,69550.232,,,0,1,0,0,0,1,0.714,0.405,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1953,AGO,24,DNK,208,,,900.0,,0.0,7308.257,0,0,0,0,0.193,4293.84,4369.28,,3800999.936,0,1,0,0,0,1,0.714,0.191,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1953,AGO,24,ESP,724,,,500.0,1100.0,0.0,5815.769,0,0,0,0,0.666,4293.84,28804.129,,8247000.064,0,0,0,0,0,1,0.714,0.81,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1953,AGO,24,FIN,246,,,,400.0,0.0,7962.544,0,0,0,0,0.185,4293.84,4139.4,,3484999.936,0,1,0,0,0,1,0.714,0.268,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1953,AGO,24,FRA,250,,,3400.0,,0.0,6384.804,0,0,0,0,0.53,4293.84,43494.999,,43399999.49,0,1,0,0,0,1,0.714,0.496,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1953,AGO,24,GBR,826,,,23400.0,1500.0,0.0,7092.603,0,0,0,0,0.122,4293.84,50592.999,,48118001.66,0,1,0,0,0,0,0.714,0.21,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,154.0
1953,AGO,24,GRC,300,,,100.0,100.0,0.0,5457.884,0,0,0,0,0.003,4293.84,7817.095,,2072999.936,0,1,0,0,0,1,0.714,1.295,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
