year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1958,AGO,24,AUS,36,,,700.0,,0.0,12954.905,0.0,0.0,0.0,0.0,0.25,4635.885,9915.267,,12844000.26,0,1,0,0,0,0,0.714,0.183,0.425,10.889,44.346,14.68,0.0,1.0,0.0,0.0,17.0,53.0
1958,AGO,24,AUT,40,,,800.0,,0.0,6432.058,0.0,0.0,0.0,0.0,0.623,4635.885,6987.358,,5296000.0,0,1,0,0,0,1,0.714,1.152,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1958,AGO,24,CAN,124,,,200.0,,0.0,11627.293,0.0,0.0,0.0,0.0,0.379,4635.885,17462.004,,35818999.81,0,1,0,0,0,0,0.714,0.37,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,21.0
1958,AGO,24,CHE,756,,,800.0,,0.0,6356.838,0.0,0.0,0.0,0.0,0.448,4635.885,5199.0,,7628000.256,0,0,0,0,0,0,0.714,1.45,0.425,0.0,44.346,0.0,0.0,0.0,0.0,1.0,17.0,155.0
1958,AGO,24,COD,180,,,2900.0,,1.0,1026.17,0.0,0.0,0.0,0.0,0.39,4635.885,15909.008,,,0,0,0,0,0,0,0.714,0.531,0.425,0.0,44.346,94.866,0.0,0.0,0.0,0.0,17.0,17.0
1958,AGO,24,CPV,132,,,400.0,,0.0,5054.01,1.0,1.0,1.0,0.0,0.665,4635.885,185.02,,,0,0,0,0,0,0,0.714,1.399,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,11.0
1958,AGO,24,DEU,280,,,8500.0,10000.0,0.0,6825.559,0.0,0.0,0.0,0.0,0.332,4635.885,71488.167,,55224000.51,0,1,0,0,0,1,0.714,0.405,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1958,AGO,24,DNK,208,,,500.0,100.0,0.0,7308.257,0.0,0.0,0.0,0.0,0.193,4635.885,4515.132,,4936999.936,0,1,0,0,0,1,0.714,0.191,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1958,AGO,24,DZA,12,,,100.0,,0.0,5223.227,0.0,0.0,0.0,0.0,0.003,4635.885,10484.925,,,0,0,0,0,0,0,0.714,1.368,0.425,23.277,44.346,0.0,0.0,0.0,0.0,0.0,17.0,15.0
1958,AGO,24,EGY,818,,,1200.0,,0.0,4814.249,0.0,0.0,0.0,0.0,0.002,4635.885,25607.622,,3588570.112,0,0,0,0,0,0,0.714,0.274,0.425,16.498,44.346,0.0,0.0,0.0,0.0,0.0,17.0,15.0
1958,AGO,24,ESP,724,,,100.0,1000.0,0.0,5815.769,0.0,0.0,0.0,0.0,0.666,4635.885,30106.188,,13857000.45,0,0,0,0,0,1,0.714,0.81,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1958,AGO,24,FIN,246,,,100.0,300.0,0.0,7962.544,0.0,0.0,0.0,0.0,0.185,4635.885,4359.8,,4038000.128,0,1,0,0,0,1,0.714,0.268,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1958,AGO,24,FRA,250,,,4300.0,,0.0,6384.804,0.0,0.0,0.0,0.0,0.53,4635.885,45653.999,,58192998.4,0,1,0,0,0,1,0.714,0.496,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1958,AGO,24,GBR,826,,,20900.0,1000.0,0.0,7092.603,0.0,0.0,0.0,0.0,0.122,4635.885,51652.0,,65000001.54,0,1,0,0,0,0,0.714,0.21,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,154.0
1958,AGO,24,GNB,624,,,100.0,,0.0,4045.287,1.0,0.0,1.0,0.0,0.071,4635.885,606.044,,,0,0,0,0,0,0,0.714,0.534,0.425,0.0,44.346,100.0,0.0,0.0,0.0,0.0,17.0,11.0
1958,AGO,24,GRC,300,,,100.0,,0.0,5457.884,0.0,0.0,0.0,0.0,0.003,4635.885,8173.129,,3176999.936,0,1,0,0,0,1,0.714,1.295,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1958,AGO,24,IRL,372,,,200.0,,0.0,7275.03,0.0,0.0,0.0,0.0,0.657,4635.885,2851.522,,1688199.936,0,0,0,0,0,1,0.714,0.28,0.425,0.0,44.346,0.0,0.0,1.0,0.0,0.0,17.0,154.0
1958,AGO,24,ITA,380,,,900.0,500.0,0.0,5850.538,0.0,0.0,0.0,0.0,0.572,4635.885,49476.002,,30289000.45,0,1,0,0,0,1,0.714,0.755,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1958,AGO,24,JPN,392,,,100.0,,0.0,13676.424,0.0,0.0,0.0,0.0,0.006,4635.885,92388.771,,32017000.45,0,1,0,0,0,0,0.714,0.463,0.425,0.0,44.346,0.006,0.0,1.0,0.0,0.0,17.0,30.0
1958,AGO,24,MAR,504,,,700.0,,0.0,5301.951,0.0,0.0,0.0,0.0,0.001,4635.885,11734.866,,1664999.936,0,0,0,0,0,0,0.714,1.291,0.425,0.614,44.346,0.0,0.0,0.0,0.0,0.0,17.0,15.0
1958,AGO,24,MEX,484,,,400.0,,0.0,13000.273,0.0,0.0,0.0,0.0,0.653,4635.885,36141.953,,10176000.0,0,0,0,0,0,0,0.714,0.825,0.425,1.704,44.346,27.928,0.0,0.0,0.0,0.0,17.0,13.0
1958,AGO,24,MOZ,508,,,2900.0,3300.0,0.0,2664.913,1.0,1.0,1.0,0.0,0.229,4635.885,7176.661,,,0,0,0,0,0,0,0.714,0.438,0.425,0.0,44.346,87.365,0.0,0.0,0.0,0.0,17.0,14.0
1958,AGO,24,NLD,528,,,16000.0,17200.0,0.0,6942.261,0.0,0.0,0.0,0.0,0.377,4635.885,11186.875,,9493000.192,0,1,0,0,0,1,0.714,0.042,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,155.0
1958,AGO,24,NOR,578,,,400.0,,0.0,7837.547,0.0,0.0,0.0,0.0,0.196,4635.885,3522.993,,4432999.936,0,1,0,0,0,0,0.714,1.245,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1958,AGO,24,PRT,620,,,23100.0,23500.0,0.0,5956.993,1.0,1.0,0.0,1.0,0.649,4635.885,8888.55,,2160000.0,0,0,0,0,0,1,0.714,0.967,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,39.0
1958,AGO,24,STP,678,,,900.0,,0.0,1389.717,1.0,1.0,1.0,0.0,0.639,4635.885,61.683,,,0,0,0,0,0,0,0.714,0.876,0.425,0.0,44.346,100.0,0.0,1.0,0.0,0.0,17.0,17.0
1958,AGO,24,SWE,752,,,400.0,600.0,0.0,7644.175,0.0,0.0,0.0,0.0,0.145,4635.885,7409.0,,12060000.26,0,1,0,0,0,1,0.714,0.343,0.425,0.0,44.346,0.0,0.0,0.0,0.0,0.0,17.0,154.0
1958,AGO,24,USA,840,,,32600.0,41000.0,0.0,12153.606,0.0,0.0,0.0,0.0,0.292,4635.885,174882.004,,449700003.8,0,1,0,0,0,0,0.714,0.333,0.425,0.278,44.346,0.358,0.0,0.0,0.0,0.0,17.0,21.0
1958,AGO,24,ZAF,710,,,1900.0,,0.0,2579.672,0.0,0.0,0.0,0.0,0.149,4635.885,16558.044,,6284709.888,0,1,0,0,0,0,0.714,1.318,0.425,4.386,44.346,0.179,0.0,0.0,0.0,0.0,17.0,18.0
1958,ALB,8,ITA,380,,,,500.0,0.0,722.953,0.0,0.0,0.0,0.0,0.0,1521.417,49476.002,303800.0,30289000.45,0,1,0,0,0,1,1.597,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0
