year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1951,AGO,AUT,24,40,1,1,1,1,0,6357.017,6432.058,6357.017,6423.484,1,0,0,0,0.623,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4173.095,6935.451,,,,,2,2,,,,,,,,6981.105,,38870204,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,200,
1951,AGO,CHE,24,756,1,1,1,1,0,6235.385,6356.838,6235.385,6348.073,1,0,0,0,0.448,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4173.095,4749,,5049999.872,,1.063,2,2,,2,,,,,,4675.009,,74226824,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,400,1700
1951,AGO,COD,24,180,1,1,1,1,1,553.106,1026.17,553.106,790.391,1,0,0,0,0.39,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4173.095,13831.814,,,,,2,2,,,,,,,,12707.142,,25868348,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,2000,2200
1951,AGO,DEU,24,280,1,1,1,1,0,6738.352,6825.559,6830.042,6813.506,1,0,0,0,0.332,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4173.095,68875.885,,,,,2,2,,,,,,,,69069.125,,351008416,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,6700,10000
1951,AGO,DNK,24,208,1,1,1,1,0,7179.064,7308.257,7179.064,7300.732,1,0,0,0,0.193,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,4173.095,4303.62,,3343000.064,,0.777,2,2,,2,,,,,,4305.789,,38757480,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,1000,
1951,AGO,ESP,24,724,1,1,1,1,0,5752.252,5815.769,5752.252,5798.348,1,0,0,0,0.666,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4173.095,28298.01,,7490999.808,,0.265,2,2,,2,,,,,,28384.715,,117001136,0,0,0,0,0,1,0,0,6,,,,,,,,,,,,,1400,900
1951,AGO,FRA,24,250,1,1,1,1,0,6510.322,6384.804,6510.322,6363.6,1,0,0,0,0.53,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4173.095,42862,,35143000.06,,0.82,2,2,,2,,,,,,42958.203,,306136096,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,16600,
1951,AGO,GBR,24,826,1,1,1,0,0,6837.594,7092.603,6837.594,7080.328,1,0,0,0,0.122,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4173.095,50290.001,,41485000.7,,0.825,2,2,,2,,,,,,50292.656,,454805632,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,16100,700
1951,AGO,IRL,24,372,1,1,1,1,0,7160.81,7275.03,7160.81,7267.237,1,0,0,0,0.657,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4173.095,2959.311,,1176470.016,,0.398,2,2,,2,,,,,,2959.209,,14843195,0,0,0,0,0,1,0,0,6,,,,,,,,,,,,,100,
1951,AGO,ITA,24,380,1,1,1,1,0,5645.243,5850.538,5645.243,5827.607,1,0,0,0,0.572,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4173.095,47417.999,,17197000.7,,0.363,2,2,,2,,,,,,47345.172,,218346464,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,1800,
