year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1954,AGO,AUT,24,40,1,1,1,1,0,6357.017,6432.058,6357.017,6423.484,1,0,0,0,0.623,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4357.527,6940.209,,,,,2,2,,,,,,,,6985.894,,45608952,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,300,
1954,AGO,CAN,24,124,1,1,1,-5,0,10904.939,11627.293,10635.11,11486.643,1,0,0,0,0.379,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4357.527,15636.245,,26638999.55,,1.704,2,2,,2,,,,,,15422.549,,183401008,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,600,200
1954,AGO,CHE,24,756,1,1,1,1,0,6235.385,6356.838,6235.385,6348.073,1,0,0,0,0.448,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4357.527,4929,,6040000,,1.225,2,2,,2,,,,,,4852.204,,84801160,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,700,1800
1954,AGO,COD,24,180,1,1,1,1,1,553.106,1026.17,553.106,790.391,1,0,0,0,0.39,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,14657.484,,,,,2,2,,,,,,,,13465.678,,32318840,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,2300,3300
1954,AGO,DEU,24,280,1,1,1,1,0,6738.352,6825.559,6830.042,6813.506,1,0,0,0,0.332,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4357.527,69868.118,,,,,2,2,,,,,,,,70259.242,,463977248,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,7500,12000
1954,AGO,DNK,24,208,1,1,1,1,0,7179.064,7308.257,7179.064,7300.732,1,0,0,0,0.193,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,4357.527,4406,,3975000.064,,0.902,2,2,,2,,,,,,4408.22,,44725596,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,700,
1954,AGO,EGY,24,818,1,1,1,2,0,4736.951,4814.249,4736.951,4802.731,1,0,0,0,0.002,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,23298.552,,2494249.984,,0.107,2,2,,2,,,,,,24320.211,,12944347,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,100,
1954,AGO,ESP,24,724,1,1,1,1,0,5752.252,5815.769,5752.252,5798.348,1,0,0,0,0.666,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,29060.411,,8652000.256,,0.298,2,2,,2,,,,,,29149.453,,132728200,0,0,0,0,0,1,0,0,6,,,,,,,,,,,,,,700
1954,AGO,FIN,24,246,1,1,1,2,0,7746.235,7962.544,7746.235,7952.925,1,0,0,0,0.185,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,4357.527,4186.9,,3870000.128,,0.924,2,2,,2,,,,,,4192.408,,30977150,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,,300
1954,AGO,FRA,24,250,1,1,1,1,0,6510.322,6384.804,6510.322,6363.6,1,0,0,0,0.53,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,43821.999,,45943001.09,,1.048,2,2,,2,,,,,,43920.082,,351181248,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,3300,
1954,AGO,GBR,24,826,1,1,1,0,0,6837.594,7092.603,6837.594,7080.328,1,0,0,0,0.122,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4357.527,50764.999,,50758000.64,,1,2,2,,2,,,,,,50767.676,,506721216,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,17400,100
1954,AGO,IDN,24,360,1,1,1,7,0,10294.874,10408.962,10294.874,10380.327,1,0,0,0,0.028,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,87883.345,,,,,2,2,,2,,,,,,,,,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,100,
1954,AGO,ISR,24,376,1,1,1,2,0,5096.148,5173.667,5096.148,5165.5,1,0,0,0,0.007,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4357.527,1711.647,,977770.048,,0.571,2,2,,2,,,,,,1679.924,,9701380,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,200,
1954,AGO,ITA,24,380,1,1,1,1,0,5645.243,5850.538,5645.243,5827.607,1,0,0,0,0.572,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,48299,,21849999.36,,0.452,2,2,,2,,,,,,48224.82,,255771744,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,500,
1954,AGO,MOZ,24,508,1,1,1,2,0,2794.277,2664.913,2794.277,2638.41,1,1,1,1,0.229,0,1,1,1,1,1,1,0,0,0,0,0,,,PRT,1,1,1975,1,4357.527,6663.941,,,,,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,900,1100
1954,AGO,NLD,24,528,1,1,1,1,0,6856.132,6942.261,6856.132,6934.22,1,0,0,0,0.377,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4357.527,10615.38,,7121999.872,,0.671,2,2,,2,,,,,,10590.625,,96041768,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,11400,15700
1954,AGO,NOR,24,578,1,1,1,1,0,7655.045,7837.547,7655.045,7823.317,1,0,0,0,0.196,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,4357.527,3394.246,,3163000.064,,0.932,2,2,,2,,,,,,3393.085,,33891180,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,300,
1954,AGO,PRT,24,620,1,1,1,0,0,5779.503,5956.993,5779.503,5945.699,1,1,1,0,0.649,1,1,1,1,1,1,1,0,0,1,1,1,1975,1,,0,0,,,4357.527,8632.099,,1766000,,0.205,2,2,,2,,,,,,8305.354,,28183730,0,0,0,0,0,1,0,0,6,,,,,,,,,,,,,21400,21800
