year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1956,AGO,AUS,24,36,1,1,1,10,0,13528.195,12954.905,13284.232,12879.337,1,0,0,0,0.25,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4490.992,9500.607,,11448000.51,,1.205,2,2,,2,,,,,,9637.745,,131077576,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,900,
1956,AGO,AUT,24,40,1,1,1,1,0,6357.017,6432.058,6357.017,6423.484,1,0,0,0,0.623,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4490.992,6952.359,,4598000.128,,0.661,2,2,,2,,,,,,6998.124,,53840568,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,400,
1956,AGO,CAN,24,124,1,1,1,-5,0,10904.939,11627.293,10635.11,11486.643,1,0,0,0,0.379,0,1,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,4490.992,16445.087,,32580999.17,,1.981,2,2,,2,,,,,,16220.339,,217337136,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,8100,200
1956,AGO,CHE,24,756,1,1,1,1,0,6235.385,6356.838,6235.385,6348.073,1,0,0,0,0.448,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4490.992,5045,,7.00E+06,,1.388,2,2,,2,,,,,,4966.397,,95468272,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,1000,1500
1956,AGO,COD,24,180,1,1,1,1,1,553.106,1026.17,553.106,790.391,1,0,0,0,0.39,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4490.992,15259.279,,,,,2,2,,,,,,,,14018.54,,35540076,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,2100,2700
1956,AGO,DEU,24,280,1,1,1,1,0,6738.352,6825.559,6830.042,6813.506,1,0,0,0,0.332,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,4490.992,70602.516,,47288000.51,,0.67,2,2,,2,,,,,,71134.742,,566335424,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,8900,12000
1956,AGO,DNK,24,208,1,1,1,1,0,7179.064,7308.257,7179.064,7300.732,1,0,0,0,0.193,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,4490.992,4466.471,,4441999.872,,0.995,2,2,,2,,,,,,4468.722,,45449960,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,500,
1956,AGO,ESP,24,724,1,1,1,1,0,5752.252,5815.769,5752.252,5798.348,1,0,0,0,0.666,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4490.992,29579.144,,11091000.32,,0.375,2,2,,2,,,,,,29669.771,,148809872,0,0,0,0,0,1,0,0,6,,,,,,,,,,,,,1000,1600
1956,AGO,FIN,24,246,1,1,1,2,0,7746.235,7962.544,7746.235,7952.925,1,0,0,0,0.185,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,4490.992,4281.7,,4766000.128,,1.113,2,2,,2,,,,,,4287.332,,34479800,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,200,200
1956,AGO,FRA,24,250,1,1,1,1,0,6510.322,6384.804,6510.322,6363.6,1,0,0,0,0.53,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,4490.992,44657.001,,54656999.42,,1.224,2,2,,2,,,,,,44757.715,,387563776,0,1,0,0,0,1,0,0,6,,,,,,,,,,,,,3900,
