year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1983,AFG,ARE,4,784,1,1,4.5,4,0,1813.615,1657.193,1813.615,1628.898,1,0,0,0,0.942,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,1215.38,3990899.968,42803322.88,0.326,35.218,1,1,2,1,,,,,,1253.06,,209473744,0,0,0,0,0,0,0,0,6,,,,,,,,,,46.576,,,,
1983,AFG,AUS,4,36,1,1,4.5,10,0,11433.487,11086.141,11365.442,11020.751,1,0,0,0,0.002,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,12241.928,15369,3990899.968,176929341.4,0.326,11.512,1,1,2,1,,,,,,15257.357,,355873216,0,1,0,0,0,0,0,0,6,,,,,,,,,,738.413,,,,
1983,AFG,AUT,4,40,1,1,4.5,1,0,4568.098,4567.302,4568.098,4557.809,1,0,0,0,0.006,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12241.928,7561.91,3990899.968,71947280.38,0.326,9.514,1,1,2,1,,,,,,7603.102,,146462432,0,1,0,0,0,1,0,0,6,,,,,,,,,,2505.265,,,,
1983,AFG,BEL,4,56,1,1,4.5,1,0,5416.121,5331.892,5416.121,5326.837,1,0,0,0,0.011,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,9855.52,3990899.968,87516299.26,0.326,8.88,1,1,2,1,,,,,,9897.88,,199243216,0,1,0,0,0,1,0,0,6,,,,,,,,,,3966.388,,,,
1983,AFG,BHR,4,48,1,1,4.5,3,0,2004.434,1940.47,2004.434,1917.157,1,0,0,0,0.943,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,396.447,3990899.968,3735106.56,0.326,9.421,1,1,2,1,,,,,,396.454,,7323693.5,0,0,0,0,0,0,0,0,6,,,,,,,,,,1.603,,,,
1983,AFG,BRN,4,96,1,1,4.5,8,0,5741.141,5823.199,5741.141,5818.072,1,0,0,0,0.638,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,210.925,3990899.968,3844723.2,0.326,18.228,1,1,2,1,,,,,,212.136,,21041832,0,0,0,0,0,0,0,0,6,,,,,,,,,,1.17,,,,
1983,AFG,CAN,4,124,1,1,4.5,-5,0,10768.887,10516.293,10461.271,10508.325,1,0,0,0,0.006,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,12241.928,25455.999,3990899.968,340318879.7,0.326,13.369,1,1,2,1,,,,,,25296.84,,632723776,0,1,0,0,0,0,0,0,6,,,,,,,,,,168.519,,,,
1983,AFG,CHE,4,756,1,1,4.5,1,0,5247.043,5136.085,5247.043,5129.578,1,0,0,0,0.003,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12241.928,6418.773,3990899.968,111035572.2,0.326,17.299,1,1,2,1,,,,,,6377.095,,213332496,0,1,0,0,0,0,0,0,6,,,,,,,,,,7965.871,,,,
1983,AFG,CHL,4,152,1,1,4.5,-4,0,16353.896,16262.291,16353.896,16257.022,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,11731.654,3990899.968,19770402.82,0.326,1.685,1,1,2,1,,,,,,11797.534,,70423528,0,1,0,0,0,0,0,0,6,,,,,,,,,,9.699,,,,
1983,AFG,CIV,4,384,1,1,4.5,0,0,8144.624,8067.372,8165.951,8061.536,1,0,0,0,0.238,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,9386.245,3990899.968,6838184.96,0.326,0.729,1,1,2,1,,,,,,9432.73,,20740098,0,1,0,0,0,0,0,0,6,,,,,,,,,,185.918,,,,
1983,AFG,CSK,4,200,1,1,4.5,1,,4708.024,4543.171,4708.024,4534.28,0,0,0,0,,0,1,2,1,,0,0,0,0,0,0,0,,,,0,0,,,12241.928,15415.827,3990899.968,30876329.98,0.326,2.003,1,1,2,2,,,,,,,,,0,1,0,0,0,0,0,0,6,,,,,,,,,,599.638,,,,
1983,AFG,DEU,4,280,1,1,4.5,1,0,5226.514,4945.52,4783.57,4934.421,1,0,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12241.928,78128.281,3990899.968,655738011.6,0.326,8.393,1,1,2,2,,,,,,77790.078,,1516379776,0,1,0,0,0,1,0,0,6,,,,,,,,,,39481,,,,
1983,AFG,DNK,4,208,1,1,4.5,1,0,4857.692,4854.474,4857.692,4848.241,1,0,0,0,0.002,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,12241.928,5114.297,3990899.968,60188397.57,0.326,11.769,1,1,2,1,,,,,,5119.607,,113704952,0,1,0,0,0,1,0,0,6,,,,,,,,,,1704.024,,,,
1983,AFG,EGY,4,818,1,1,4.5,2,0,3584.319,3509.174,3584.319,3496.898,1,0,0,0,0.812,0,1,1,1,1,1,1,0,0,0,0,0,,,,1,1,,,12241.928,48071.85,3990899.968,28137369.6,0.326,0.585,1,1,2,1,,,,,,47594.555,,70399312,0,1,0,0,0,0,0,0,6,,,,,,,,,,442.278,,,,
1983,AFG,ESP,4,724,1,1,4.5,1,0,6290.493,6147.663,6290.493,6123.391,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,38122.429,3990899.968,170486874.1,0.326,4.472,1,1,2,1,,,,,,38514.062,,494887264,0,1,0,0,0,1,0,0,6,,,,,,,,,,258.111,,,,
1983,AFG,FIN,4,246,1,1,4.5,2,0,4254.794,4243.341,4254.794,4236.522,1,0,0,0,0,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,12241.928,4855.787,3990899.968,51014090.75,0.326,10.506,1,1,2,1,,,,,,4862.178,,98862048,0,1,0,0,0,1,0,0,6,,,,,,,,,,699.613,,,,
1983,AFG,FRA,4,250,1,1,4.5,1,0,5590.381,5500.665,5590.381,5489.888,1,0,0,0,0.03,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,56149.876,3990899.968,561852121.1,0.326,10.006,1,1,2,1,,,,,,56173.453,,1201749760,0,1,0,0,0,1,0,0,6,,,,,,,,,,3802.142,,,,
1983,AFG,GBR,4,826,1,1,4.5,0,0,5718.078,5694.557,5718.078,5689.184,1,0,0,0,0.014,0,1,3,1,2,0,0,0,0,1,1,0,1919,,,0,0,,,12241.928,56332.848,3990899.968,487323140.1,0.326,8.651,1,1,2,1,,,,,,56330.875,,1098576640,0,1,0,0,0,1,0,0,6,,,,,,,,,,30078.383,,,,
1983,AFG,GRC,4,300,1,1,4.5,2,0,4058.47,3981.455,4058.47,3972.516,1,0,0,0,0.015,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,9846.627,3990899.968,49611264,0.326,5.038,1,1,2,1,,,,,,9867.161,,129934344,0,1,0,0,0,1,0,0,6,,,,,,,,,,73.12,,,,
1983,AFG,GUF,4,254,1,1,4.5,-3,0,12506.794,12447.904,12506.794,12444.918,1,0,0,0,0.01,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,78.844,3990899.968,,0.326,,1,2,2,,,,,,,,,,0,0,0,0,0,0,0,0,6,,,,,,,,,,0.678,,,,
1983,AFG,HKG,4,344,1,1,4.5,8,0,4566.617,4656.974,4566.617,4649.385,1,0,0,0,0.005,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,5345.1,3990899.968,29907091.46,0.326,5.595,1,1,2,1,,,,,,5183.912,,87480464,0,0,0,0,0,0,0,0,6,,,,,,,,,,108.006,,,,
1983,AFG,HUN,4,348,1,1,4.5,1,0,4367.694,4265.953,4367.694,4257.653,1,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,,,,0,0,,,12241.928,10689.463,3990899.968,21007230.98,0.326,1.965,1,1,2,2,,,,,,10669.693,,108969672,0,1,0,0,0,1,0,0,6,,,,,,,,,,170.898,,,,
1983,AFG,IDN,4,360,1,1,4.5,7,0,6000.786,6105.471,6000.786,6048.273,1,0,0,0,0.431,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,156314.892,3990899.968,,0.326,,1,1,2,1,,,,,,,,,0,1,0,0,0,0,0,0,6,,,,,,,,,,1.01,,,,
1983,AFG,IND,4,356,1,1,4.5,5.5,0,1003.893,1741.23,1003.893,1578.108,1,0,0,0,0.115,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,747986.267,3990899.968,222090281,0.326,0.297,1,1,2,1,,,,,,746949.125,,794226560,0,1,0,0,0,0,0,0,6,,,,,,,,,,17856.822,,,,
1983,AFG,IRL,4,372,1,1,4.5,1,0,6085.926,6052.054,6085.926,6047.218,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,3510.6,3990899.968,20745312.26,0.326,5.909,1,1,2,1,,,,,,3531.776,,47464952,0,1,0,0,0,1,0,0,6,,,,,,,,,,797.76,,,,
1983,AFG,ISL,4,352,1,1,4.5,0,0,6658.555,6564.804,6658.555,6560.94,1,0,0,0,0,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,12241.928,236.977,3990899.968,2797570.048,0.326,11.805,1,1,2,1,,,,,,236.019,,5894634,0,1,0,0,0,0,0,0,6,,,,,,,,,,11.788,,,,
1983,AFG,ITA,4,380,1,1,4.5,1,0,4935.994,4878.286,4935.994,4866.3,1,0,0,0,0.001,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,56564.075,3990899.968,441741738,0.326,7.81,1,1,2,1,,,,,,56838.676,,1105300992,0,1,0,0,0,1,0,0,6,,,,,,,,,,4981.623,,,,
1983,AFG,JOR,4,400,1,1,4.5,2,0,3096.229,3009.075,3096.229,2995.34,1,0,0,0,0.923,0,1,1,1,1,1,1,0,0,0,0,0,,,,1,0,1919,0,12241.928,2455.896,3990899.968,4920692.224,0.326,2.004,1,1,2,1,,,,,,2667.47,,10240997,0,0,0,0,0,0,0,0,6,,,,,,,,,,67.906,,,,
1983,AFG,JPN,4,392,1,1,4.5,9,0,6278.016,6169.582,6278.016,6154.539,1,0,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12241.928,119259.003,3990899.968,1218106491,0.326,10.214,1,1,2,1,,,,,,120438.086,,2228875520,0,1,0,0,0,0,0,0,6,,,,,,,,,,235.08,,,,
1983,AFG,KNA,4,659,1,1,4.5,-4,0,12346.531,11910,12346.531,10442.589,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,42.539,3990899.968,59666.664,0.326,1.403,1,1,2,1,,,,,,42.542,,264804.812,0,0,0,0,0,0,0,0,6,,,,,,,,,,0.993,,,,
1983,AFG,KOR,4,410,1,1,4.5,9,0,5131.888,5275.912,5131.888,5266.729,1,0,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12241.928,39910.404,3990899.968,90524008.45,0.326,2.268,1,1,2,1,,,,,,39752.027,,248067600,0,1,0,0,0,0,0,0,6,,,,,,,,,,30.714,,,,
1983,AFG,KWT,4,414,1,1,4.5,3,0,2079.553,2001.407,2079.553,1978.614,1,0,0,0,0.944,0,1,1,1,1,1,1,0,0,0,0,0,,,,1,0,1919,0,12241.928,1576.266,3990899.968,20871081.98,0.326,13.241,1,1,2,1,,,,,,1580.638,,63310032,0,1,0,0,0,0,0,0,6,,,,,,,,,,691.826,,,,
1983,AFG,LBY,4,434,1,1,4.5,2,0,5133.119,4813.555,5133.119,4781.018,1,0,0,0,0.974,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,3479.637,3990899.968,28815790.08,0.326,8.281,1,1,2,2,,,,,,,,,0,0,0,0,0,0,0,0,6,,,,,,,,,,41.02,,,,
1983,AFG,MLT,4,470,1,1,4.5,1,0,4906.982,4819.005,4906.982,4811.928,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,1,0,1919,0,12241.928,330.524,3990899.968,1165730.176,0.326,3.527,1,1,2,1,,,,,,342.628,,3456774.75,0,1,0,0,0,1,0,0,6,,,,,,,,,,12.201,,,,
1983,AFG,MYS,4,458,1,1,4.5,8,0,4846.316,5078.32,4846.316,5044.965,1,0,0,0,0.491,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,12241.928,14926.976,3990899.968,30682562.56,0.326,2.056,1,1,2,1,,,,,,14818.617,,108142096,0,1,0,0,0,0,0,0,6,,,,,,,,,,1.516,,,,
1983,AFG,NCL,4,540,1,1,4.5,11,0,12033.22,12087.354,12033.22,12083.99,1,0,0,0,0.04,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,145.4,3990899.968,823832.96,0.326,5.666,1,1,2,1,,,,,,,,,0,0,0,0,0,0,0,0,6,,,,,,,,,,12.882,,,,
1983,AFG,NIC,4,558,1,1,4.5,-6,0,14235.575,14136.316,14235.575,14134.681,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,3529.935,3990899.968,2753100.032,0.326,0.78,1,1,2,1,,,,,,3527.939,,16890328,0,1,0,0,0,0,0,0,6,,,,,,,,,,82.843,,,,
1983,AFG,NLD,4,528,1,1,4.5,1,0,5361.4,5264.187,5361.4,5259.089,1,0,0,0,0.01,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,14367.07,3990899.968,150894297.1,0.326,10.503,1,1,2,1,,,,,,14365.385,,315278560,0,1,0,0,0,1,0,0,6,,,,,,,,,,1930.551,,,,
1983,AFG,NOR,4,578,1,1,4.5,1,0,5014.602,5018.427,5014.602,5011.493,1,0,0,0,0.001,0,1,5,1,4,0,0,0,0,0,0,0,,,,0,0,,,12241.928,4128.432,3990899.968,60779974.66,0.326,14.722,1,1,2,1,,,,,,4124.585,,103394728,0,1,0,0,0,0,0,0,6,,,,,,,,,,631.487,,,,
1983,AFG,NZL,4,554,1,1,4.5,12,0,13761.996,13647.263,13761.996,13644.59,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,12241.928,3199.3,3990899.968,24041797.63,0.326,7.515,1,1,2,1,,,,,,3215.729,,57069056,0,1,0,0,0,0,0,0,6,,,,,,,,,,53.517,,,,
1983,AFG,PAK,4,586,1,1,4.5,5,1,374.652,805.972,374.652,665.752,1,0,0,0,0.961,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12241.928,88577.08,3990899.968,28691890.18,0.326,0.324,1,1,2,1,,,,,,86297.641,,177531920,0,1,0,0,0,0,0,0,6,,,,,,,,,,23424.021,,,,
1983,AFG,PNG,4,598,1,1,4.5,10,0,9528.009,9495.276,9528.009,9483.264,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1906,0,12241.928,3489.402,3990899.968,2562492.416,0.326,0.734,1,1,2,1,,,,,,,,,0,0,0,0,0,0,0,0,6,,,,,,,,,,0.705,,,,
1983,AFG,PRT,4,620,1,1,4.5,0,0,6791.342,6694.289,6791.342,6684.135,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,9957.865,3990899.968,27242332.16,0.326,2.736,1,1,2,1,,,,,,9958.417,,96342936,0,1,0,0,0,1,0,0,6,,,,,,,,,,13.131,,,,
1983,AFG,PYF,4,258,1,1,4.5,-10,0,15755.988,15826.687,15755.988,15824.027,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12241.928,165.611,3990899.968,1335895.296,0.326,8.066,1,1,2,1,,,,,,,,,0,0,0,0,0,0,0,0,6,,,,,,,,,,22.965,,,,
