year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1975,AFG,AUS,4,36,1,1,4.5,10,0,11433.487,11086.141,11365.442,11020.751,1,0,0,0,0.002,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,12551.79,13893,2366666.496,97098186.75,0.189,6.989,1,1,1,1,,,,,,13831.206,,278147808,0,1,0,0,0,0,0,0,6,,,,,,,,,131.974,210.023,,,,
1975,AFG,AUT,4,40,1,1,4.5,1,0,4568.098,4567.302,4568.098,4557.809,1,0,0,0,0.006,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12551.79,7578.903,2366666.496,39962705.92,0.189,5.273,1,1,1,1,,,,,,7637.689,,127423760,0,1,0,0,0,1,0,0,6,,,,,,,,,53.757,1061.685,,,,
1975,AFG,BEL,4,56,1,1,4.5,1,0,5416.121,5331.892,5416.121,5326.837,1,0,0,0,0.011,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12551.79,9800.7,2366666.496,65928339.46,0.189,6.727,1,1,1,1,,,,,,9771.586,,186573568,0,1,0,0,0,1,0,0,6,,,,,,,,,69.015,232.661,,,,
1975,AFG,BFA,4,854,1,1,4.5,0,0,7497.595,7464.21,7497.595,7456.056,1,0,0,0,0.427,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,12551.79,6154.548,2366666.496,939972.672,0.189,0.153,1,1,1,1,,,,,,6154.545,,4813758.5,0,1,0,0,0,0,0,0,6,,,,,,,,,19.458,,,,,
1975,AFG,BGR,4,100,1,1,4.5,2,0,4043.005,3819.043,4043.005,3805.977,1,0,0,0,0.105,0,1,2,1,3,0,0,0,0,0,0,0,,,,0,0,,,12551.79,8720.742,2366666.496,10691360.77,0.189,1.226,1,1,1,2,,,,,,8738.361,,41509256,0,0,0,0,0,1,0,0,6,,,,,,,,,125.893,,,,,
1975,AFG,BHR,4,48,1,1,4.5,3,0,2004.434,1940.47,2004.434,1917.157,1,0,0,0,0.943,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,12551.79,266.686,2366666.496,750800,0.189,2.815,1,1,1,2,,,,,,266.543,,3983238,0,0,0,0,0,0,0,0,6,,,,,,,,,,1.001,,,,
1975,AFG,CAN,4,124,1,1,4.5,-5,0,10768.887,10516.293,10461.271,10508.325,1,0,0,0,0.006,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,12551.79,23209,2366666.496,173569343.5,0.189,7.479,1,1,1,1,,,,,,23156.209,,514316064,0,1,0,0,0,0,0,0,6,,,,,,,,,205.646,113.971,,,,
1975,AFG,CHE,4,756,1,1,4.5,1,0,5247.043,5136.085,5247.043,5129.578,1,0,0,0,0.003,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,12551.79,6338.632,2366666.496,54296719.36,0.189,8.566,1,1,1,2,,,,,,6356.185,,189565920,0,1,0,0,0,0,0,0,6,,,,,,,,,5889.733,5618.06,,,,
1975,AFG,CHN,4,156,1,1,4.5,8,1,4180.438,4434.382,4180.438,4369.993,1,0,0,0,0.024,0,1,2,1,3,0,0,0,0,0,0,0,,,,0,0,,,12551.79,916395.02,2366666.496,161162494,0.189,0.176,1,1,1,1,,,,,,920945.062,,1445732224,0,0,0,0,0,0,0,0,6,,,,,,,,,2877.059,,,,,
1975,AFG,CSK,4,200,1,1,4.5,1,,4708.024,4543.171,4708.024,4534.28,0,0,0,0,,0,1,2,1,,0,0,0,0,0,0,0,,,,0,0,,,12551.79,14797.726,2366666.496,43757998.08,0.189,2.957,1,1,1,2,,,,,,,,,0,1,0,0,0,0,0,0,6,,,,,,,,,2107.568,2225.383,,,,
