year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1984,AFG,AUS,4,36,1,1,4.5,10,0,11433.487,11086.141,11365.442,11020.751,1,0,0,0,0.002,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,11854.205,15544,2624000,193232207.9,0.221,12.431,1,1,2,1,,,,,,15487.214,,366897536,0,1,0,0,0,0,0,0,6,,,,,,,,,,858.525,,,,
1984,AFG,AUT,4,40,1,1,4.5,1,0,4568.098,4567.302,4568.098,4557.809,1,0,0,0,0.006,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,11854.205,7561.434,2624000,67821568,0.221,8.969,1,1,2,1,,,,,,7607.293,,145502176,0,1,0,0,0,1,0,0,6,,,,,,,,,,2337.923,,,,
1984,AFG,BEL,4,56,1,1,4.5,1,0,5416.121,5331.892,5416.121,5326.837,1,0,0,0,0.011,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,11854.205,9855.372,2624000,83666984.96,0.221,8.489,1,1,2,1,,,,,,9906.371,,198560592,0,1,0,0,0,1,0,0,6,,,,,,,,,,2367.876,,,,
1984,AFG,BHR,4,48,1,1,4.5,3,0,2004.434,1940.47,2004.434,1917.157,1,0,0,0,0.943,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,11854.205,407.223,2624000,3905585.152,0.221,9.591,1,1,2,1,,,,,,407.227,,8256167,0,0,0,0,0,0,0,0,6,,,,,,,,,,8.576,,,,
1984,AFG,BRN,4,96,1,1,4.5,8,0,5741.141,5823.199,5741.141,5818.072,1,0,0,0,0.638,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,11854.205,216.885,2624000,3782523.136,0.221,17.44,1,1,2,1,,,,,,218.227,,21070238,0,0,0,0,0,0,0,0,6,,,,,,,,,,1.149,,,,
1984,AFG,CAN,4,124,1,1,4.5,-5,0,10768.887,10516.293,10461.271,10508.325,1,0,0,0,0.006,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,11854.205,25702,2624000,353887715.3,0.221,13.769,1,1,2,1,,,,,,25571.672,,671842496,0,1,0,0,0,0,0,0,6,,,,,,,,,,144.5,,,,
1984,AFG,CHE,4,756,1,1,4.5,1,0,5247.043,5136.085,5247.043,5129.578,1,0,0,0,0.003,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,11854.205,6441.865,2624000,106019110.9,0.221,16.458,1,1,2,1,,,,,,6416.705,,216080176,0,1,0,0,0,0,0,0,6,,,,,,,,,,6949.55,,,,
1984,AFG,COG,4,178,1,1,4.5,1,0,7100.583,7110.932,7100.583,7100.183,1,0,0,0,0.004,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,11854.205,2020.333,2624000,2193581.312,0.221,1.086,1,1,2,1,,,,,,2068.132,,6972623.5,0,1,0,0,0,0,0,0,6,,,,,,,,,,269.651,,,,
1984,AFG,CSK,4,200,1,1,4.5,1,,4708.024,4543.171,4708.024,4534.28,0,0,0,0,,0,1,2,1,,0,0,0,0,0,0,0,,,,0,0,,,11854.205,15457.31,2624000,27879510.02,0.221,1.804,1,1,2,2,,,,,,,,,0,1,0,0,0,0,0,0,6,,,,,,,,,,150.303,,,,
1984,AFG,CYP,4,196,1,1,4.5,2,0,3257.972,3172.299,3257.972,3159.984,1,0,0,0,0.184,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,11854.205,697.717,2624000,2278248.96,0.221,3.265,1,1,2,1,,,,,,534.8,,8452990,0,1,0,0,0,1,0,0,6,,,,,,,,,,19.111,,,,
