year,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
1970,AFG,AUS,4,36,1,1,4.5,10,0,11433.487,11086.141,11365.442,11020.751,1,0,0,0,0.002,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,11015.621,12507,1748886.656,41252098.05,0.159,3.298,1,1,1,1,,,,,,12842.907,,250905712,0,1,0,0,0,0,0,0,6,,,,,,,,,15.831,44.084,,,,
1970,AFG,AUT,4,40,1,1,4.5,1,0,4568.098,4567.302,4568.098,4557.809,1,0,0,0,0.006,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,11015.621,7467.086,1748886.656,15335971.84,0.159,2.054,1,1,1,1,,,,,,7516.239,,104061768,0,1,0,0,0,1,0,0,6,,,,,,,,,23.804,212.382,,,,
1970,AFG,BEL,4,56,1,1,4.5,1,0,5416.121,5331.892,5416.121,5326.837,1,0,0,0,0.011,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,11015.621,9655.549,1748886.656,26807912.45,0.159,2.776,1,1,1,1,,,,,,9632.181,,152865536,0,1,0,0,0,1,0,0,6,,,,,,,,,64.261,84.559,,,,
1970,AFG,CAN,4,124,1,1,4.5,-5,0,10768.887,10516.293,10461.271,10508.325,1,0,0,0,0.006,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,1,,,11015.621,21323.999,1748886.656,87762255.87,0.159,4.116,1,1,1,1,,,,,,21452.738,,394589088,0,1,0,0,0,0,0,0,6,,,,,,,,,114.723,104.954,,,,
1970,AFG,CHE,4,756,1,1,4.5,1,0,5247.043,5136.085,5247.043,5129.578,1,0,0,0,0.003,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,11015.621,6180.877,1748886.656,20733140.99,0.159,3.354,1,1,1,2,,,,,,6169.358,,178702944,0,1,0,0,0,0,0,0,6,,,,,,,,,3892.161,1674.785,,,,
1970,AFG,COD,4,180,1,1,4.5,1,0,7100.062,6738.451,7100.062,6701.34,1,0,0,0,0.014,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,11015.621,20009.901,1748886.656,4877684.736,0.159,0.244,1,1,1,1,,,,,,20009.936,,52554792,0,0,0,0,0,0,0,0,6,,,,,,,,,,30.326,,,,
1970,AFG,CRI,4,188,1,1,4.5,-6,0,14334.572,14260.465,14334.572,14258.965,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,0,0,,,11015.621,1822.106,1748886.656,984830.144,0.159,0.54,1,1,1,1,,,,,,1848.866,,10552088,0,0,0,0,0,0,0,0,6,,,,,,,,,,0.805,,,,
1970,AFG,CSK,4,200,1,1,4.5,1,,4708.024,4543.171,4708.024,4534.28,0,0,0,0,,0,1,2,1,,0,0,0,0,0,0,0,,,,0,0,,,11015.621,14396.294,1748886.656,23984001.02,0.159,1.666,1,1,1,2,,,,,,,,,0,1,0,0,0,0,0,0,6,,,,,,,,,589.524,683.194,,,,
1970,AFG,CYP,4,196,1,1,4.5,2,0,3257.972,3172.299,3257.972,3159.984,1,0,0,0,0.184,0,1,3,1,2,0,0,0,0,0,0,0,,,,1,0,1919,0,11015.621,613.619,1748886.656,543800,0.159,0.886,1,1,1,2,,,,,,613.621,,4571546.5,0,1,0,0,0,1,0,0,6,,,,,,,,,,7.219,,,,
1970,AFG,DEU,4,280,1,1,4.5,1,0,5226.514,4945.52,4783.57,4934.421,1,0,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,11015.621,78169.289,1748886.656,186179993.6,0.159,2.382,1,1,1,2,,,,,,78572.984,,1153588224,0,1,0,0,0,1,0,0,6,,,,,,,,,4334.583,18438,,,,
